"Date","id","County","Overall","Incidence_vs_Active","Deaths","Recovered","Active","Quarantine_inbound","Quarantine_contact","Contracted.health.services","Acvtive_DPS","Acvtive_ZOL","Work","Academy","School","Dormitories","Weddings","Hotels","Public_Transport","Others"
2020-10-11,4,"Dabrowski",97,"16,39",2,60,35,2,49,4,0,0,1,0,0,0,0,0,0,41
2020-10-11,5,"Gorlicki",243,"22,32",2,159,82,2,102,17,0,0,0,10,0,0,13,0,0,99
2020-10-11,6,"Krakowski",835,"29,90",6,663,166,6,182,48,15,0,13,4,0,0,2,4,0,561
2020-10-11,7,"Limanowski",1026,"77,87/20,87",11,739,275,0,369,52,39,0,0,12,0,0,0,0,1,553
2020-10-11,8,"Miechowski",183,"37,49/19,87",1,85,97,0,47,0,0,0,14,0,0,0,0,0,0,122
2020-10-11,9,"Myslenicki",979,"76,72/31,50",2,575,402,0,248,42,24,0,80,18,0,0,2,0,0,565
2020-10-11,10,"Nowosadecki",1673,"77,17/12,73",31,1366,276,7,1043,96,64,1,321,38,0,0,20,0,0,83
2020-10-11,11,"Nowotarski",1317,"68,67/27,53",24,761,528,2,409,90,25,28,68,8,0,0,0,0,1,686
2020-10-11,12,"Olkuski",314,"28,23/12,77",3,169,142,4,15,9,2,1,56,16,0,0,2,0,0,209
2020-10-11,13,"Oswiecimski",632,"41,18/12,77",13,423,196,2,221,52,26,0,0,0,0,0,0,0,0,331
2020-10-11,14,"Proszowicki",102,"23,60",3,64,35,2,8,10,27,0,0,0,0,0,0,0,0,55
2020-10-11,15,"Suski",612,"72,66/27,42",8,372,231,2,174,13,69,7,71,19,0,0,19,0,0,238
2020-10-11,16,"Tarnowski",415,"20,60",9,303,102,6,187,14,56,0,15,0,0,0,0,0,0,137
2020-10-11,17,"Tatrzanski",642,"94,31/33,64",10,400,229,2,181,74,41,0,41,45,0,0,0,0,0,258
2020-10-11,18,"Wadowicki",633,"39,56/16,56",11,356,265,0,220,55,54,0,22,20,0,0,0,0,0,262
2020-10-11,19,"Wielicki",513,"39,73/14,48",7,317,187,1,254,11,0,0,7,2,0,0,0,0,0,238
2020-10-11,20,"M.kraków",3532,"45,33/12,23",41,2537,953,33,532,226,90,17,57,13,0,36,34,32,0,2462
2020-10-11,21,"M.nowysacz",658,"78,53/12,29",18,537,103,3,360,39,106,0,125,7,0,0,7,1,0,10
2020-10-11,22,"M.tarnów",186,"17,15",1,100,85,8,43,17,0,0,5,0,0,0,0,0,0,113
2020-10-12,1,"Bochenski",591,"55,31/10,20",30,444,109,3,143,31,240,0,13,23,0,0,31,0,0,107
2020-10-12,2,"Brzeski",246,"26,39",2,161,81,3,37,66,13,2,2,0,0,0,0,21,0,102
2020-10-12,3,"Chrzanowski",299,"24,01/14,37",5,115,179,1,40,26,25,2,16,0,0,0,8,0,0,181
2020-10-12,4,"Dabrowski",102,"17,24",2,62,38,2,49,4,0,0,1,0,0,0,0,0,0,46
2020-10-12,5,"Gorlicki",269,"24,70",2,159,108,2,97,24,0,0,0,10,0,0,20,0,0,116
2020-10-12,6,"Krakowski",915,"32,77",7,662,246,6,182,48,15,0,13,4,0,0,2,4,0,641
2020-10-12,7,"Limanowski",1045,"79,31/21,33",11,752,281,0,369,52,39,0,0,12,0,0,0,0,1,572
2020-10-12,8,"Miechowski",187,"38,31/20,28",1,87,99,0,48,0,0,0,14,0,0,0,0,0,0,125
2020-10-12,9,"Myslenicki",1018,"79,78/34,56",2,575,441,0,252,42,27,0,85,21,0,0,2,0,0,589
2020-10-12,10,"Nowosadecki",1701,"78,46/13,65",31,1374,296,7,1061,100,64,1,325,40,0,0,20,0,0,83
2020-10-12,11,"Nowotarski",1356,"70,71/29,56",24,761,567,2,410,90,25,28,77,8,0,0,0,0,1,715
2020-10-12,12,"Olkuski",332,"29,85/14,12",3,172,157,4,15,9,4,1,64,17,0,0,2,0,0,216
2020-10-12,13,"Oswiecimski",642,"41,83/13,42",13,423,206,2,221,55,26,0,0,0,0,0,0,0,0,338
2020-10-12,14,"Proszowicki",106,"24,52",3,64,39,2,8,10,27,0,0,0,0,0,0,0,0,59
2020-10-12,15,"Suski",637,"75,62/28,61",8,387,241,2,178,13,69,7,71,21,0,0,19,0,0,257
2020-10-12,16,"Tarnowski",425,"21,09",9,303,112,6,191,14,56,0,15,0,0,0,0,0,0,143
2020-10-12,17,"Tatrzanski",675,"99,16/36,58",10,413,249,2,181,79,41,0,43,49,0,0,0,0,0,280
2020-10-12,18,"Wadowicki",645,"40,31/17,31",11,356,277,0,220,56,54,0,22,20,0,0,0,0,0,273
2020-10-12,19,"Wielicki",529,"40,96/15,72",7,317,203,1,254,11,0,0,7,2,0,0,1,0,0,253
2020-10-12,20,"M.kraków",3800,"48,77/15,67",41,2537,1221,33,532,226,90,17,57,13,0,36,34,32,0,2730
2020-10-12,21,"M.nowysacz",663,"79,12/12,89",18,537,108,3,360,43,106,0,126,7,0,0,7,1,0,10
2020-10-12,22,"M.tarnów",195,"17,98",1,100,94,8,45,17,0,0,9,0,0,0,0,0,0,116
2020-10-13,1,"Bochenski",612,"57,27/11,98",30,446,128,3,145,32,240,0,13,23,0,0,31,0,0,125
2020-10-13,2,"Brzeski",250,"26,82",2,163,83,3,37,66,13,2,2,0,0,0,0,21,0,106
2020-10-13,3,"Chrzanowski",307,"24,65/14,94",5,116,186,1,40,26,25,2,16,4,0,0,8,0,0,185
2020-10-13,4,"Dabrowski",105,"17,74",4,63,38,2,51,4,0,0,1,0,0,0,0,0,0,47
2020-10-13,5,"Gorlicki",290,"26,63/10,93",2,168,119,2,99,30,0,0,0,10,0,0,20,0,0,129
2020-10-13,6,"Krakowski",1004,"35,95/10,89",7,693,304,6,175,47,15,0,13,4,0,0,2,4,0,738
2020-10-13,7,"Limanowski",1109,"84,17/24,89",12,768,328,0,373,78,39,0,0,12,0,0,0,0,1,606
2020-10-13,8,"Miechowski",206,"42,20/23,56",1,90,115,0,49,0,7,0,16,0,0,0,0,0,0,134
2020-10-13,9,"Myslenicki",1044,"81,82/36,52",3,575,466,0,252,42,27,0,85,21,0,0,2,0,0,615
2020-10-13,10,"Nowosadecki",1734,"79,98/15,04",35,1373,326,7,1077,100,64,1,330,48,0,0,20,0,0,87
